step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
10,CASH_IN,54746.12,206946.0,261692.12,61215.63,6469.51,0,0
10,PAYMENT,16251.71,0.0,0.0,0.0,0.0,0,0
15,CASH_IN,26315.3,11023.0,37338.3,0.0,0.0,0,0
97,CASH_OUT,68405.59,62946.34,0.00,837975.07,865577.34,0,0
16,PAYMENT,18222.64,65073.0,46850.36,0.0,0.0,0,0
14,TRANSFER,665634.29,0.0,0.0,705487.79,2045549.63,0,0
7,PAYMENT,17803.7,1192428.33,1174624.62,0.0,0.0,0,0
9,PAYMENT,16185.59,582657.0,566471.41,0.0,0.0,0,0
18,CASH_OUT,6088.43,51420.0,45331.57,1956822.53,1736203.77,0,0
275,CASH_OUT,2660005.23,1575576.25,0.00,292395.75,2708198.37,0,0
18,CASH_OUT,3310.47,2021.0,0.0,185392.62,188703.1,0,0
16,PAYMENT,13385.45,0.0,0.0,0.0,0.0,0,0
8,PAYMENT,11515.11,0.0,0.0,0.0,0.0,0,0
9,CASH_OUT,268785.78,14980.0,0.0,0.0,438546.81,0,0
10,PAYMENT,1122.1,61630.36,60508.26,0.0,0.0,0,0
9,CASH_OUT,190897.49,223.0,0.0,10447.0,0.0,0,0
10,CASH_OUT,811586.19,247437.84,0.0,4240639.76,5052225.95,0,0
118,TRANSFER,2709.36,2709.36,0.00,0.00,2709.36,0,0
705,TRANSFER,550903.93,550903.93,0.00,0.00,550903.93,0,0
16,PAYMENT,1169.93,161.0,0.0,0.0,0.0,0,0
9,CASH_OUT,177361.21,0.0,0.0,1249478.55,2120505.58,0,0
13,CASH_IN,273572.26,1927.0,275499.26,0.0,0.0,0,0
11,PAYMENT,49570.52,0.0,0.0,0.0,0.0,0,0
13,CASH_IN,322077.06,12415.0,334492.06,424136.52,102059.46,0,0
14,CASH_OUT,96093.75,0.0,0.0,270523.1,514594.12,0,0
19,PAYMENT,13174.7,54725.45,41550.75,0.0,0.0,0,0
18,PAYMENT,11456.26,51919.0,40462.74,0.0,0.0,0,0
16,CASH_OUT,32690.2,55309.0,22618.8,4070287.01,4347529.91,0,0
14,CASH_OUT,167793.52,141357.0,0.0,213774.99,668568.79,0,0
19,CASH_OUT,118471.02,570426.24,451955.22,7478079.82,7596550.84,0,0
737,TRANSFER,167606.49,167606.49,0.0,0.0,0.0,1,0
15,CASH_IN,42368.27,264453.12,306821.39,758439.99,716071.72,0,0
16,CASH_IN,421253.06,83565.0,504818.06,0.0,0.0,0,0
18,CASH_OUT,136685.3,0.0,0.0,583976.51,720661.81,0,0
87,CASH_OUT,37658.03,0.00,0.00,11606.36,31291.95,0,0
18,PAYMENT,49856.36,0.0,0.0,0.0,0.0,0,0
1,TRANSFER,4044.05,5069.55,1025.50,0.00,1927.66,0,0
9,CASH_OUT,58778.75,1001.0,0.0,0.0,2494.4,0,0
9,TRANSFER,160545.95,160545.95,0.00,1249566.71,1249566.71,0,0
523,CASH_OUT,10000000.0,10000000.0,0.0,198226.59,10198226.59,1,0
413,TRANSFER,72754.87,29242.70,0.00,0.00,72754.87,0,0
226,CASH_OUT,25147.49,32253.67,7106.18,30577.05,50076.35,0,0
8,CASH_OUT,238000.49,4836.0,0.0,217891.79,455892.27,0,0
19,CASH_IN,163739.57,5693656.78,5857396.35,272650.36,108910.79,0,0
249,CASH_OUT,3879669.76,3879669.76,0.0,621931.51,4501601.27,1,0
613,CASH_OUT,246076.87,246076.87,0.00,704564.21,704564.21,0,0
643,CASH_OUT,40651.96,40651.96,0.0,1737062.67,1777714.62,1,0
15,PAYMENT,2789.54,509568.51,506778.98,0.0,0.0,0,0
44,TRANSFER,2692580.30,2692580.30,0.00,0.00,0.00,0,0
19,CASH_IN,51719.07,7398579.29,7450298.35,5210152.06,5025169.72,0,0
724,CASH_OUT,111698.00,111698.00,0.00,122841.99,122841.99,0,0
152,TRANSFER,1414232.12,0.00,0.00,0.00,1071115.13,0,0
10,CASH_OUT,264824.77,682506.2,417681.43,839685.45,1281079.7,0,0
11,CASH_OUT,171444.26,79136.0,0.0,4207743.78,4379188.04,0,0
9,PAYMENT,33016.47,5672.0,0.0,0.0,0.0,0,0
565,CASH_OUT,157.27,0.00,0.00,0.00,87.55,0,0
19,PAYMENT,3186.55,0.0,0.0,0.0,0.0,0,0
66,CASH_OUT,95872.17,95872.17,0.00,0.00,0.00,0,0
8,CASH_IN,211102.97,743373.77,954476.74,270380.04,36628.35,0,0
447,TRANSFER,137745.52,142513.78,4768.26,0.00,137745.52,0,0
13,CASH_OUT,70767.7,0.0,0.0,189096.2,259863.9,0,0
405,TRANSFER,188152.08,188152.08,0.00,0.00,188152.08,0,0
123,TRANSFER,786180.06,718938.84,0.00,0.00,537793.04,0,0
10,PAYMENT,2501.69,162390.0,159888.31,0.0,0.0,0,0
56,TRANSFER,24690.91,24690.91,0.00,729850.54,729850.54,0,0
15,TRANSFER,838627.0,104166.0,0.0,639410.07,1100264.93,0,0
14,CASH_OUT,123736.4,30061.0,0.0,247093.39,1670243.73,0,0
18,TRANSFER,297083.0,0.0,0.0,6021934.62,6319017.62,0,0
16,CASH_OUT,102921.35,387.0,0.0,373091.28,476012.63,0,0
15,PAYMENT,29875.19,0.0,0.0,0.0,0.0,0,0
18,PAYMENT,22635.65,9134.0,0.0,0.0,0.0,0,0
53,TRANSFER,55574.61,68959.41,13384.80,0.00,55574.61,0,0
26,TRANSFER,339565.14,0.00,0.00,0.00,314239.62,0,0
191,CASH_OUT,1011789.45,0.00,0.00,688325.06,1246081.26,0,0
661,TRANSFER,1354987.02,1354987.02,0.00,23896.40,23896.40,0,0
12,CASH_OUT,177898.45,0.0,0.0,1610451.49,1788349.95,0,0
9,PAYMENT,12096.92,168.0,0.0,0.0,0.0,0,0
9,PAYMENT,8417.43,290120.27,281702.84,0.0,0.0,0,0
572,TRANSFER,1068952.42,1068952.42,0.0,0.0,0.0,1,0
146,CASH_OUT,13893.53,17819.01,3925.48,0.00,13893.53,0,0
420,CASH_OUT,667519.26,0.00,0.00,9196.81,374601.08,0,0
17,PAYMENT,22221.17,0.0,0.0,0.0,0.0,0,0
600,TRANSFER,983417.49,983417.49,0.0,0.0,0.0,1,0
305,TRANSFER,10000000.0,12321633.57,2321633.57,0.0,0.0,1,0
18,CASH_OUT,100906.88,224030.0,123123.12,31909.0,454392.29,0,0
19,PAYMENT,3885.76,0.0,0.0,0.0,0.0,0,0
738,TRANSFER,31123.61,38748.09,7624.48,0.00,17125.39,0,0
731,CASH_OUT,10533.68,10533.68,0.00,0.00,0.00,0,0
17,CASH_IN,35706.77,3566702.36,3602409.13,156926.84,121220.07,0,0
17,CASH_IN,242981.82,181.0,243162.82,6380540.83,6137559.01,0,0
8,PAYMENT,6687.62,6345.0,0.0,0.0,0.0,0,0
16,PAYMENT,9574.66,0.0,0.0,0.0,0.0,0,0
15,CASH_OUT,466527.97,121506.0,0.0,1219.0,467746.97,0,0
510,CASH_OUT,1256420.14,1256420.14,0.00,101543.84,1357963.98,0,0
30,CASH_OUT,5530449.04,5530449.04,0.00,286029.89,5816478.93,0,0
15,PAYMENT,546.74,40278.52,39731.78,0.0,0.0,0,0
553,TRANSFER,898934.64,898934.64,0.00,151249.66,1050184.30,0,0
584,CASH_OUT,116676.56,116676.56,0.00,0.00,0.00,0,0
13,TRANSFER,406921.48,0.0,0.0,1075354.91,1482276.39,0,0
11,PAYMENT,21252.17,565077.68,543825.51,0.0,0.0,0,0
19,CASH_IN,206340.73,1352506.31,1558847.04,299829.18,93488.45,0,0
18,PAYMENT,2200.77,62133.0,59932.23,0.0,0.0,0,0
14,CASH_IN,58625.98,18868994.28,18927620.26,254847.83,0.0,0,0
18,CASH_OUT,223484.57,0.0,0.0,302449.17,525933.74,0,0
13,PAYMENT,7797.8,25070.0,17272.2,0.0,0.0,0,0
17,TRANSFER,1417491.22,0.0,0.0,1753530.14,3171021.36,0,0
15,CASH_OUT,58355.72,0.0,0.0,2949510.56,3007866.28,0,0
12,CASH_OUT,223190.73,200655.0,0.0,41589.0,384276.95,0,0
9,CASH_IN,538070.13,3145319.57,3683389.69,780540.73,323552.75,0,0
14,CASH_IN,260328.84,4045052.33,4305381.17,417192.76,102059.47,0,0
18,CASH_IN,347002.19,2375.0,349377.19,0.0,0.0,0,0
588,CASH_OUT,421859.83,624545.92,202686.09,0.00,421859.83,0,0
19,CASH_IN,370876.94,10587.0,381463.94,2316723.55,1945846.61,0,0
11,CASH_OUT,10038.93,0.0,0.0,406318.0,0.0,0,0
11,PAYMENT,5408.32,0.0,0.0,0.0,0.0,0,0
20,CASH_OUT,231464.19,27524.0,0.0,0.0,231464.19,0,0
9,TRANSFER,816048.57,0.0,0.0,862144.26,1678192.82,0,0
9,CASH_IN,135861.0,1703896.64,1839757.64,371010.98,1261935.04,0,0
12,CASH_IN,155219.54,4999305.18,5154524.73,907256.0,829637.25,0,0
17,CASH_OUT,146611.18,0.0,0.0,529218.0,675829.18,0,0
703,CASH_OUT,718589.87,0.00,0.00,0.00,472119.38,0,0
80,CASH_OUT,119006.55,119006.55,0.00,528287.73,528287.73,0,0
19,CASH_OUT,196019.01,113681.0,0.0,595328.02,791347.03,0,0
17,CASH_OUT,368304.15,416695.0,48390.85,0.0,368304.15,0,0
209,CASH_OUT,7044227.89,7044227.89,0.0,1122506.96,8166734.85,1,0
15,PAYMENT,7745.98,0.0,0.0,0.0,0.0,0,0
81,TRANSFER,1878373.94,1878373.94,0.00,0.00,1878373.94,0,0
139,TRANSFER,9640350.42,9984680.47,344330.05,0.00,7722409.20,0,0
11,CASH_IN,21008.58,6613296.56,6634305.13,204532.58,183524.0,0,0
12,PAYMENT,13548.88,31501.0,17952.12,0.0,0.0,0,0
446,TRANSFER,220823.76,220823.76,0.00,0.00,220823.76,0,0
18,CASH_IN,173128.95,2568685.89,2741814.84,228932.22,55803.27,0,0
591,CASH_OUT,92935.05,92935.05,0.00,3005233.50,3005233.50,0,0
443,TRANSFER,13876791.53,16528355.66,2651564.13,0.00,13876791.53,0,0
12,TRANSFER,1192472.36,0.0,0.0,1864331.24,3256424.17,0,0
13,CASH_IN,45400.76,0.0,45400.76,628604.17,555200.0,0,0
13,CASH_OUT,151406.65,444.0,0.0,0.0,0.0,0,0
13,PAYMENT,58.0,1109460.53,1109402.53,0.0,0.0,0,0
10,PAYMENT,198.23,895.0,696.77,0.0,0.0,0,0
16,PAYMENT,2721.85,190484.62,187762.77,0.0,0.0,0,0
17,CASH_OUT,157855.86,0.0,0.0,537581.24,695437.1,0,0
10,PAYMENT,15987.0,18311.0,2324.0,0.0,0.0,0,0
415,TRANSFER,279366.14,655831.21,376465.07,0.00,279366.14,0,0
19,CASH_OUT,209239.13,31278.0,0.0,827053.97,938083.81,0,0
9,PAYMENT,20981.54,275994.47,255012.93,0.0,0.0,0,0
8,CASH_OUT,210035.38,0.0,0.0,2768953.46,2978988.84,0,0
248,CASH_OUT,1143091.00,1354609.96,211518.96,0.00,1143091.00,0,0
19,PAYMENT,1347.08,0.0,0.0,0.0,0.0,0,0
14,PAYMENT,10436.86,145910.2,135473.34,0.0,0.0,0,0
8,CASH_OUT,259716.02,21338.0,0.0,19698.0,919697.4,0,0
16,PAYMENT,4731.84,583.0,0.0,0.0,0.0,0,0
16,CASH_OUT,8557.43,0.0,0.0,169694.17,283463.58,0,0
428,CASH_OUT,87719.40,91152.89,3433.49,4230651.43,4230651.43,0,0
9,CASH_IN,210818.68,240645.0,451463.68,71551.0,0.0,0,0
12,PAYMENT,1549.47,32356.0,30806.53,0.0,0.0,0,0
12,CASH_IN,181835.4,1818879.96,2000715.36,2543498.47,2599364.04,0,0
13,PAYMENT,16736.8,67690.0,50953.2,0.0,0.0,0,0
353,TRANSFER,42518.17,41486.38,0.00,0.00,41978.78,0,0
12,CASH_OUT,390995.59,59100.33,0.0,450633.66,841629.25,0,0
18,CASH_IN,160189.1,2805631.21,2965820.31,392979.94,232790.84,0,0
711,CASH_OUT,328292.66,328292.66,0.00,0.00,0.00,0,0
14,CASH_OUT,46918.58,0.0,0.0,409759.36,456677.94,0,0
16,CASH_OUT,130412.08,50115.0,0.0,0.0,130412.08,0,0
19,CASH_OUT,34385.36,0.0,0.0,774521.83,676766.39,0,0
15,CASH_IN,154720.47,1038651.0,1193371.48,1260735.13,950340.36,0,0
603,TRANSFER,411590.47,411590.47,0.00,0.00,0.00,0,0
18,CASH_IN,217891.51,6002667.63,6220559.14,3359496.51,3141605.0,0,0
9,PAYMENT,5892.23,222873.0,216980.77,0.0,0.0,0,0
10,CASH_IN,64105.39,17277153.02,17341258.41,154315.17,212864.48,0,0
19,CASH_IN,74223.32,145972.0,220195.32,64275.0,88553.57,0,0
10,PAYMENT,1405.76,1027234.14,1025828.38,0.0,0.0,0,0
17,CASH_OUT,72909.2,0.0,0.0,368990.25,606858.38,0,0
19,PAYMENT,3237.31,0.0,0.0,0.0,0.0,0,0
15,PAYMENT,3258.31,0.0,0.0,0.0,0.0,0,0
9,CASH_IN,149220.11,203847.0,353067.11,0.0,227826.57,0,0
18,CASH_IN,177197.44,41113.0,218310.44,1229312.18,1148201.15,0,0
20,PAYMENT,2790.99,68692.55,65901.56,0.0,0.0,0,0
16,PAYMENT,20844.91,497979.19,477134.28,0.0,0.0,0,0
18,CASH_OUT,43003.78,51485.0,8481.22,104292.44,141789.95,0,0
12,CASH_IN,80721.16,2845894.38,2926615.55,2248621.99,2536556.5,0,0
18,CASH_OUT,81107.99,35913.0,0.0,0.0,81107.99,0,0
20,CASH_OUT,428891.29,0.0,0.0,2675522.89,5093362.74,0,0
9,PAYMENT,3379.26,0.0,0.0,0.0,0.0,0,0
61,TRANSFER,344661.22,146611.48,0.00,0.00,344661.22,0,0
331,CASH_OUT,359021.69,354366.41,0.00,1256239.65,1586522.89,0,0
14,TRANSFER,609141.8,0.0,0.0,4551972.64,5104446.77,0,0
19,CASH_IN,76760.21,4333374.4,4410134.61,181300.2,104540.0,0,0
19,PAYMENT,10401.16,356393.26,345992.1,0.0,0.0,0,0
9,CASH_OUT,133696.36,16072.04,0.0,0.0,249063.74,0,0
16,TRANSFER,365895.37,134368.0,0.0,0.0,365895.37,0,0
371,CASH_OUT,8302514.91,9849761.09,1547246.18,401181.91,8703696.82,0,0
286,CASH_OUT,12473043.75,14636574.97,2163531.22,0.00,12473043.75,0,0
59,CASH_OUT,126439.65,133222.45,6782.80,362977.40,489417.05,0,0
15,PAYMENT,15059.59,18813.0,3753.41,0.0,0.0,0,0
10,CASH_OUT,75491.37,49600.0,0.0,508235.91,583727.28,0,0
8,PAYMENT,2749.64,18638.0,15888.36,0.0,0.0,0,0
10,CASH_OUT,146033.5,0.0,0.0,1488594.61,1418194.02,0,0
7,PAYMENT,10408.57,157450.55,147041.98,0.0,0.0,0,0
16,CASH_IN,101020.3,10876914.06,10977934.36,216931.99,115911.69,0,0
14,CASH_OUT,149659.21,0.0,0.0,5415675.2,5089737.27,0,0
19,CASH_OUT,123692.59,0.0,0.0,238355.99,362048.58,0,0
17,CASH_OUT,130554.26,0.0,0.0,573231.8,703786.06,0,0
11,CASH_OUT,83690.2,62126.0,0.0,35447.0,0.0,0,0
335,TRANSFER,1132026.25,1314334.45,182308.20,0.00,419900.51,0,0
685,CASH_OUT,107255.56,0.00,0.00,0.00,70541.51,0,0
12,CASH_OUT,613274.8,17853.0,0.0,77695.33,690970.13,0,0
87,CASH_OUT,1809111.38,1819801.98,10690.60,414336.37,1877547.66,0,0
10,PAYMENT,4643.67,50111.0,45467.33,0.0,0.0,0,0
112,CASH_OUT,242615.74,266643.47,24027.73,0.00,0.00,0,0
210,TRANSFER,1663895.14,1663895.14,0.0,0.0,0.0,1,0
18,TRANSFER,114028.24,57574.56,0.0,0.0,114028.24,0,0
90,TRANSFER,1012669.50,0.00,0.00,10448963.96,11064076.65,0,0
16,CASH_OUT,240519.97,30840.0,0.0,1385679.82,1788884.07,0,0
18,CASH_OUT,170661.91,0.0,0.0,516845.17,687507.08,0,0
131,CASH_OUT,31507.57,34174.62,2667.05,2082712.91,2114220.48,0,0
13,PAYMENT,6931.51,0.0,0.0,0.0,0.0,0,0
16,CASH_IN,164810.5,22416.0,187226.5,4849.41,0.0,0,0
9,PAYMENT,9066.2,28182.0,19115.8,0.0,0.0,0,0
9,PAYMENT,18966.33,9076.58,0.0,0.0,0.0,0,0
701,CASH_OUT,91882.6,91882.6,0.0,144354.61,236237.2,1,0
13,CASH_IN,234927.33,172271.0,407198.33,8777773.59,8542846.26,0,0
650,CASH_OUT,530911.06,732339.42,201428.36,4261441.87,4792352.93,0,0
